Server time in hour,Difference with previous Zigzag length in pips,Zigzag completion time in mins,ZigZag length in pips,Zigza length round to nearest 10 pips,Next Zigzag length in pips,Previous Zigzag length in pips,If greater than 10 pips
6,1,70,4.6,0,2.9,3.6,0
7,2,10,2.9,0,48,4.6,0
7,46,155,48,50,21.8,2.9,1
10,27,60,21.8,20,25.9,48,1
11,4,145,25.9,30,20.8,21.8,1
13,5,84.99999999,20.8,20,6.8,25.9,1
15,14,15.00000001,6.8,10,13.3,20.8,0
15,7,70,13.3,10,24.8,6.8,1
16,11,50,24.8,20,69.4,13.3,1
17,45,100,69.4,70,40.1,24.8,1
19,29,110,40.1,40,48.4,69.4,1
21,8,105,48.4,50,17.6,40.1,1
22,31,60.00000001,17.6,20,12,48.4,1
23,5,165,12,10,11.7,17.6,1
2,1,40,11.7,10,8.3,12,1
3,3,50,8.3,10,24.7,11.7,0
4,16,215,24.7,20,34.5,8.3,1
7,10,105,34.5,30,26.7,24.7,1
9,8,55,26.7,30,27,34.5,1
10,0,110,27,30,57.6,26.7,1
12,31,350,57.6,60,31.4,27,1
17,26,120,31.4,30,22,57.6,1
19,10,190,22,20,8.4,31.4,1
23,13,50.00000001,8.4,10,12.8,22,0
23,4,4340,12.8,10,9.5,8.4,1
0,3,45,9.5,10,9.5,12.8,0
1,0,20,9.5,10,13,9.5,0
1,3,40,13,10,23.4,9.5,1
2,11,80,23.4,20,13.5,13,1
3,10,155,13.5,10,9.4,23.4,1
5,4,50,9.4,10,7.8,13.5,0
6,2,70,7.8,10,6.8,9.4,0
7,1,50.00000001,6.8,10,5.5,7.8,0
8,1,39.99999999,5.5,10,23.3,6.8,0
9,18,35,23.3,20,20.8,5.5,1
10,3,30,20.8,20,24.5,23.3,1
10,4,95,24.5,20,13.5,20.8,1
12,11,90,13.5,10,9,24.5,1
13,5,40,9,10,6.4,13.5,0
14,2,40,6.4,10,27.6,9,0
14,21,99.99999999,27.6,30,20.1,6.4,1
16,7,25.00000001,20.1,20,42.8,27.6,1
17,22,105,42.8,40,50,20.1,1
18,8,160,50,50,9.7,42.8,1
21,41,160,9.7,10,21.2,50,0
0,12,170,21.2,20,17.3,9.7,1
2,4,70,17.3,20,5.3,21.2,1
4,12,60,5.3,10,10.8,17.3,0
5,5,100,10.8,10,5.5,5.3,1
6,5,30,5.5,10,17.1,10.8,0
7,12,90,17.1,20,27.5,5.5,1
8,10,115,27.5,30,18,17.1,1
10,9,35,18,20,13.9,27.5,1
11,5,35,13.9,10,27.5,18,1
11,14,80,27.5,30,24.1,13.9,1
13,3,105,24.1,20,46.6,27.5,1
14,22,180,46.6,50,59.4,24.1,1
17,13,335,59.4,60,15.7,46.6,1
23,44,225,15.7,20,34.1,59.4,1
3,19,70.00000001,34.1,30,38.4,15.7,1
4,4,140,38.4,40,9.5,34.1,1
6,29,95,9.5,10,34.6,38.4,0
8,25,110,34.6,30,21.5,9.5,1
10,13,100,21.5,20,13.7,34.6,1
11,8,45,13.7,10,12.5,21.5,1
12,1,25,12.5,10,32,13.7,1
13,20,150,32,30,57.9,12.5,1
15,25,225,57.9,60,10.8,32,1
19,47,70,10.8,10,10.1,57.9,1
20,0,20,10.1,10,28.4,10.8,1
20,18,74.99999999,28.4,30,12,10.1,1
22,16,20,12,10,12.9,28.4,1
22,0,55,12.9,10,5.8,12,1
23,7,40,5.8,10,3.7,12.9,0
23,2,15,3.7,0,22.1,5.8,0
0,19,120,22.1,20,15.2,3.7,1
2,7,50,15.2,20,16.5,22.1,1
3,1,105,16.5,20,6.4,15.2,1
4,10,60.00000001,6.4,10,5.1,16.5,0
5,1,39.99999999,5.1,10,5.3,6.4,0
6,0,30,5.3,10,4.9,5.1,0
6,1,65,4.9,0,6.6,5.3,0
8,2,19.99999999,6.6,10,14.3,4.9,0
8,8,45,14.3,10,23.5,6.6,1
9,9,100,23.5,20,23,14.3,1
10,1,75,23,20,10.6,23.5,1
12,12,40,10.6,10,24.9,23,1
12,14,99.99999999,24.9,20,12.6,10.6,1
14,12,40,12.6,10,22,24.9,1
15,9,85,22,20,29.5,12.6,1
16,8,90,29.5,30,26.1,22,1
17,3,135,26.1,30,9.5,29.5,1
20,17,15,9.5,10,17,26.1,0
20,8,65,17,20,14.3,9.5,1
21,3,100,14.3,10,91.2,17,1
23,77,4380,91.2,90,21.2,14.3,1
0,70,105,21.2,20,14.7,91.2,1
1,7,45,14.7,10,6.6,21.2,1
2,8,35,6.6,10,7.8,14.7,0
3,1,35,7.8,10,5.8,6.6,0
3,2,90,5.8,10,11.2,7.8,0
5,6,120,11.2,10,5,5.8,1
7,7,30,5,10,13,11.2,0
7,8,55,13,10,47.7,5,1
8,35,100,47.7,50,63.2,13,1
10,16,225,63.2,60,29.2,47.7,1
14,34,80,29.2,30,11.5,63.2,1
15,18,110,11.5,10,13.6,29.2,1
17,2,20,13.6,10,33.4,11.5,1
17,20,180,33.4,30,15.6,13.6,1
20,18,80,15.6,20,9.8,33.4,1
22,6,35,9.8,10,6.2,15.6,0
22,3,60.00000001,6.2,10,10.6,9.8,0
23,4,110,10.6,10,6.8,6.2,1
1,4,50,6.8,10,9.7,10.6,0
2,3,45,9.7,10,20.1,6.8,0
3,11,145,20.1,20,13,9.7,1
5,7,100,13,10,10.3,20.1,1
7,3,80,10.3,10,8.3,13,1
8,2,35,8.3,10,20.4,10.3,0
9,12,60,20.4,20,44.3,8.3,1
10,24,120,44.3,40,20.9,20.4,1
12,24,105,20.9,20,12,44.3,1
13,9,70.00000001,12,10,12.9,20.9,1
14,1,25,12.9,10,19.2,12,1
15,7,74.99999999,19.2,20,27.7,12.9,1
16,8,160,27.7,30,23.5,19.2,1
19,4,110,23.5,20,8,27.7,1
21,16,95.00000001,8,10,7.2,23.5,0
22,0,39.99999999,7.2,10,2.2,8,0
23,5,70.00000001,2.2,0,10.6,7.2,0
0,8,160,10.6,10,11.1,2.2,1
3,1,75,11.1,10,6.2,10.6,1
4,5,25,6.2,10,11.1,11.1,0
4,5,130,11.1,10,14.6,6.2,1
7,3,145,14.6,10,25.4,11.1,1
9,11,110,25.4,30,14.9,14.6,1
11,11,95,14.9,10,27.5,25.4,1
12,13,150,27.5,30,27.6,14.9,1
15,0,90,27.6,30,26.6,27.5,1
16,1,185,26.6,30,14.4,27.6,1
19,12,55,14.4,10,7.4,26.6,1
20,7,25,7.4,10,8.6,14.4,0
21,1,35,8.6,10,13,7.4,0
21,5,120,13,10,0.3,8.6,1
23,13,10,0.3,0,9.4,13,0
0,9,110,9.4,10,10.8,0.3,0
1,1,65,10.8,10,7.7,9.4,1
2,3,19.99999999,7.7,10,16.4,10.8,0
3,9,255,16.4,20,15.6,7.7,1
7,1,85,15.6,20,18.7,16.4,1
8,3,35,18.7,20,44.9,15.6,1
9,26,130,44.9,40,16.8,18.7,1
11,28,115,16.8,20,13.1,44.9,1
13,3,30,13.1,10,24,16.8,1
14,10,100,24,20,73.3,13.1,1
15,50,30,73.3,70,48.9,24,1
16,25,110,48.9,50,21.2,73.3,1
18,27,105,21.2,20,9.4,48.9,1
19,12,10,9.4,10,18.5,21.2,0
20,9,50,18.5,20,13.4,9.4,1
20,5,60,13.4,10,11.9,18.5,1
21,2,15.00000001,11.9,10,22.8,13.4,1
22,11,80,22.8,20,115,11.9,1
23,92,4405,115,120,8.9,22.8,1
0,106,70.00000001,8.9,10,14,115,0
2,5,55,14,10,12.2,8.9,1
2,1,70,12.2,10,20.4,14,1
4,8,130,20.4,20,4.2,12.2,1
6,16,80,4.2,0,10,20.4,0
7,6,55,10,10,10,4.2,0
8,0,45,10,10,17.5,10,0
9,7,50.00000001,17.5,20,50.9,10,1
10,33,215,50.9,50,13.9,17.5,1
13,37,35,13.9,10,21.4,50.9,1
14,8,110,21.4,20,16,13.9,1
16,5,55,16,20,16.1,21.4,1
17,0,29.99999999,16.1,20,23.6,16,1
17,7,65,23.6,20,26.1,16.1,1
18,3,155,26.1,30,8.2,23.6,1
21,18,45,8.2,10,9.3,26.1,0
21,1,100,9.3,10,4.5,8.2,0
23,5,95,4.5,0,11.8,9.3,0
1,7,55,11.8,10,14,4.5,1
2,2,165,14,10,8.5,11.8,1
