Server time in hour,Difference with previous Zigzag length in pips,Zigzag completion time in mins,ZigZag length in pips,Zigza length round to nearest 10 pips,Next Zigzag length in pips,Previous Zigzag length in pips,If greater than 10 pips
17,1,95.00000001,25.2,30,22.4,26.7,1
18,3,200,22.4,20,8.5,25.2,1
22,14,55,8.5,10,8.8,22.4,0
22,0,60.00000001,8.8,10,3.7,8.5,0
23,5,4330,3.7,0,12.5,8.8,0
0,9,95.00000001,12.5,10,23.3,3.7,1
1,11,205,23.3,20,8.9,12.5,1
5,15,105,8.9,10,2.2,23.3,0
6,6,105,2.2,0,4.2,8.9,0
8,2,25,4.2,0,36.2,2.2,0
9,32,70,36.2,40,32.6,4.2,1
10,4,135,32.6,30,29.9,36.2,1
12,3,175,29.9,30,5.9,32.6,1
15,24,45,5.9,10,27.8,29.9,0
16,22,115,27.8,30,19.4,5.9,1
18,8,140,19.4,20,6.2,27.8,1
20,13,40,6.2,10,22.2,19.4,0
21,16,75,22.2,20,10.2,6.2,1
22,12,70,10.2,10,3.9,22.2,1
23,7,35,3.9,0,12.3,10.2,0
0,9,4.999999995,12.3,10,12.7,3.9,1
0,0,50.00000001,12.7,10,11.6,12.3,1
0,1,95,11.6,10,7.1,12.7,1
2,4,25.00000001,7.1,10,7.9,11.6,0
2,0,9.999999991,7.9,10,15.7,7.1,0
3,8,160,15.7,20,11.1,7.9,1
5,4,170,11.1,10,9.5,15.7,1
8,2,29.99999999,9.5,10,8.7,11.1,0
9,1,40,8.7,10,9.7,9.5,0
9,1,15,9.7,10,11.2,8.7,0
10,2,15.00000001,11.2,10,14.8,9.7,1
10,3,35,14.8,10,10.4,11.2,1
10,4,35,10.4,10,14.2,14.8,1
11,4,65,14.2,10,11.1,10.4,1
12,3,60,11.1,10,51.2,14.2,1
13,40,140,51.2,50,16.8,11.1,1
15,35,50.00000001,16.8,20,25.6,51.2,1
16,9,120,25.6,30,12.4,16.8,1
18,13,35,12.4,10,39.8,25.6,1
19,27,205,39.8,40,6.4,12.4,1
22,33,70,6.4,10,3.5,39.8,0
23,3,20,3.5,0,9.3,6.4,0
0,6,130,9.3,10,18.5,3.5,0
2,9,330,18.5,20,6.6,9.3,1
7,12,25,6.6,10,10.8,18.5,0
8,4,65,10.8,10,24.2,6.6,1
9,14,80,24.2,20,28.8,10.8,1
10,4,100,28.8,30,21.7,24.2,1
12,7,110,21.7,20,12.9,28.8,1
14,9,45,12.9,10,11.2,21.7,1
14,1,39.99999999,11.2,10,23.9,12.9,1
15,12,80,23.9,20,15.9,11.2,1
16,8,60.00000001,15.9,20,20.4,23.9,1
17,5,50,20.4,20,23,15.9,1
18,2,170,23,20,15.1,20.4,1
21,7,130,15.1,20,9.4,23,1
23,6,125,9.4,10,5.2,15.1,0
1,4,50,5.2,10,7.1,9.4,0
2,2,65,7.1,10,9.3,5.2,0
3,2,70,9.3,10,19.4,7.1,0
4,10,255,19.4,20,8.1,9.3,1
9,11,25,8.1,10,56.6,19.4,0
9,48,175,56.6,60,36.8,8.1,1
12,20,155,36.8,40,29.6,56.6,1
15,7,120,29.6,30,18.4,36.8,1
17,11,15,18.4,20,24.9,29.6,1
17,6,75,24.9,20,61.7,18.4,1
18,37,135,61.7,60,12.2,24.9,1
20,49,70,12.2,10,12.6,61.7,1
22,0,110,12.6,10,205,12.2,1
23,193,4330,205,210,82.1,12.6,1
0,123,210,82.1,80,17.9,205,1
3,65,50,17.9,20,34.7,82.1,1
4,17,60,34.7,30,42.2,17.9,1
5,8,165,42.2,40,17.5,34.7,1
8,25,30,17.5,20,31.8,42.2,1
8,14,20,31.8,30,45.5,17.5,1
8,14,45,45.5,50,43.4,31.8,1
9,2,84.99999999,43.4,40,26.2,45.5,1
11,17,40,26.2,30,28.4,43.4,1
11,2,45,28.4,30,36.3,26.2,1
12,8,145,36.3,40,32.4,28.4,1
14,4,115,32.4,30,38.3,36.3,1
16,6,185,38.3,40,34.8,32.4,1
19,4,190,34.8,30,6.4,38.3,1
23,28,110,6.4,10,5.7,34.8,0
0,1,45,5.7,10,6.2,6.4,0
1,1,65,6.2,10,7.4,5.7,0
2,1,19.99999999,7.4,10,19.1,6.2,0
3,12,130,19.1,20,12.2,7.4,1
5,7,55,12.2,10,6.6,19.1,1
6,6,55,6.6,10,41.8,12.2,0
7,35,325,41.8,40,28.3,6.6,1
12,13,70,28.3,30,25.7,41.8,1
13,3,115,25.7,30,34.3,28.3,1
15,9,335,34.3,30,10.5,25.7,1
21,24,45,10.5,10,15.6,34.3,1
21,5,39.99999999,15.6,20,2.4,10.5,1
22,13,85,2.4,0,8.2,15.6,0
0,6,85,8.2,10,7.7,2.4,0
1,1,45,7.7,10,21.6,8.2,0
2,14,90,21.6,20,14.4,7.7,1
3,7,54.99999999,14.4,10,9.8,21.6,1
4,5,30,9.8,10,5.2,14.4,0
5,4,105,5.2,10,15.5,9.8,0
6,10,145,15.5,20,68.9,5.2,1
9,53,270,68.9,70,16.2,15.5,1
13,52,35,16.2,20,24.6,68.9,1
14,8,135,24.6,20,21.6,16.2,1
16,3,55,21.6,20,39.4,24.6,1
17,18,70.00000001,39.4,40,23.3,21.6,1
18,16,64.99999999,23.3,20,17.7,39.4,1
19,6,60.00000001,17.7,20,51.4,23.3,1
20,34,19.99999999,51.4,50,9.6,17.7,1
21,42,165,9.6,10,2.3,51.4,0
23,7,60,2.3,0,15.1,9.6,0
0,13,155,15.1,20,11.8,2.3,1
3,4,35,11.8,10,17,15.1,1
4,6,95.00000001,17,20,25.1,11.8,1
5,8,225,25.1,30,22.2,17,1
9,3,39.99999999,22.2,20,15.9,25.1,1
10,7,50.00000001,15.9,20,17.9,22.2,1
10,2,45,17.9,20,28.3,15.9,1
11,11,55,28.3,30,41,17.9,1
12,12,190,41,40,81.4,28.3,1
15,41,95,81.4,80,20.6,41,1
17,61,35,20.6,20,11.2,81.4,1
17,9,40,11.2,10,11.4,20.6,1
18,0,15,11.4,10,14.3,11.2,1
18,3,15,14.3,10,29.4,11.4,1
19,15,60.00000001,29.4,30,17.4,14.3,1
20,12,215,17.4,20,0,29.4,1
23,17,0,0,0,0,17.4,0
